Sample ID,Country,Location,Year,Month,Latitude,Longitude,Sex
AN0053-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0054-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0055-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0056-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0057-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0058-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0059-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0060-C,Cameroon,Gado Badzere,2009,9,"5,747","14,442",Undefined
AN0061-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0062-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0063-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0064-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0065-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0066-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0067-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0068-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0069-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",F
AN0070-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",F
AN0071-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",F
AN0072-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0073-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0074-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0075-Cx,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0076-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0077-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0078-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0079-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0080-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0081-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
AN0082-C,Cameroon,Zembe Borongo,2009,9,"5,747","14,442",Undefined
